ID,Deformation(mm)_mean,Deformation(mm)_std,Deformation(mm)_skew,Deformation(mm)_kurt,Deformation(mm)_last,Deformation(mm)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PLA_0,3_II_4",0.3554450803000781,0.2089936811297039,0.002416585289202412,-1.2010309835479143,0.716892,0.716892,20.97043203125,5.7218901163066915,0.07159709036662427,-1.251462829244773,31.139,19.6044,100.146
"PLA_0,3_II_4",0.3610996021416154,0.21226157193510722,0.0023488885863848304,-1.201093970889256,0.727884,0.727884,21.129966307692307,5.819550648132726,0.07196521171023744,-1.247822635045436,31.4922,19.9576,100.146
"PLA_0,3_II_4",0.36675617332128785,0.2155328689411241,0.0023398844477449635,-1.2010696042595417,0.739845,0.739845,21.28911454545454,5.9162955117563625,0.0717335244862429,-1.2453916478986484,31.8544,20.3198,100.146
"PLA_0,3_II_4",0.3724178647642537,0.21881263876112084,0.0024589174996287946,-1.200878530474895,0.7512,0.7512,21.446530895522386,6.009800952389356,0.06967671638209644,-1.2459481347458856,31.7607,20.226100000000002,100.146
"PLA_0,3_II_4",0.3780870711647794,0.22210478133232062,0.002753496861216726,-1.2004686246182765,0.762873,0.762873,21.60281382352941,6.101207035468198,0.06659293508726986,-1.2480544233306077,32.1197,20.585100000000004,100.146
"PLA_0,3_II_4",0.3837541512928261,0.22539246965098636,0.002954287454817082,-1.2002186222345617,0.774227,0.774227,21.759976376811597,6.194115264077721,0.06454459917423228,-1.2484088283257797,32.6092,21.074600000000004,100.146
"PLA_0,3_II_4",0.3894179519886429,0.22867382375800702,0.0030409465071693192,-1.2001455125890395,0.785236,0.785236,21.916375000000002,6.285783904064915,0.062161927531038885,-1.248881502708545,33.327,21.7924,100.146
"PLA_0,3_II_4",0.3950809075944366,0.2319532829290558,0.003091350166261145,-1.2001252189067524,0.796556,0.796556,22.075134507042254,6.381318955816248,0.0617444666988013,-1.2467685118057226,33.0319,21.497300000000003,100.146
"PLA_0,3_II_4",0.400747286655625,0.23523819787247682,0.003213822368102198,-1.2000093182440073,0.808182,0.808182,22.23294,6.475013494563671,0.06035096731800937,-1.2463421022919412,33.4839,21.9493,100.146
"PLA_0,3_II_4",0.40641634848226027,0.23852716437759075,0.0033816358383018915,-1.1998413145707885,0.819855,0.819855,22.38752904109589,6.563171348378885,0.05639460880658889,-1.249473625614237,33.4409,21.9063,100.146
"PLA_0,3_II_4",0.4120880694487163,0.2418200027026416,0.003586641044454951,-1.199638904358291,0.830881,0.830881,22.543730270270274,6.6541626778326375,0.054111968649927,-1.249925513168324,34.5265,22.9919,100.146
